Date,Predicted,Day
2025-04-21,205.75295614589822,Monday
2025-04-22,205.65511481542944,Tuesday
2025-04-23,204.1314782207669,Wednesday
2025-04-24,204.90160923689427,Thursday
2025-04-25,206.21409274176585,Friday
2025-04-28,206.39626771698522,Monday
2025-04-29,209.95398531399405,Tuesday
2025-04-30,203.90871587832953,Wednesday
2025-05-01,208.27929981480156,Thursday
2025-05-02,208.61556941915387,Friday
2025-05-05,206.9025422601576,Monday
2025-05-06,208.89549054594818,Tuesday
2025-05-07,211.8436336311338,Wednesday
2025-05-08,206.5062636494381,Thursday
2025-05-09,210.99281920945486,Friday
2025-05-12,212.2878026598719,Monday
2025-05-13,207.87794842628045,Tuesday
2025-05-14,206.90001101606185,Wednesday
2025-05-15,213.1727708700255,Thursday
2025-05-16,210.86554187676302,Friday
